==6331== NVPROF is profiling process 6331, command: python fft-conv1-benchmark.py
Using gpu device 0: Tesla K40c (CNMeM is disabled)

CONFIG: input = 3 x 128 x 128 * ker = 3 x 96 x 11 x 11 ( bs = 128 , stride = 1 )
theano.sandbox.cuda.fftconv.conv2d_fft             ==> fprop         ==>     189
theano.sandbox.cuda.fftconv.conv2d_fft             ==> bprop inputs  ==>     330
theano.sandbox.cuda.fftconv.conv2d_fft             ==> bprop weights ==>     258
theano.sandbox.cuda.fftconv.conv2d_fft             ==> TOTAL         ==>     778

==6331== Profiling application: python fft-conv1-benchmark.py
==6331== Profiling result:
   Start  Duration            Grid Size      Block Size     Regs*    SSMem*    DSMem*      Size  Throughput           Device   Context    Stream  Name
20.5698s  4.7004ms                    -               -         -         -         -  905.63MB  188.16GB/s   Tesla K40c (0)         1         7  [CUDA memset]
20.5745s  1.2480us                    -               -         -         -         -       48B  36.680MB/s   Tesla K40c (0)         1         7  [CUDA memcpy HtoD]
20.5767s  34.569ms         (127181 1 1)       (40 12 1)        43        0B  7.1875KB         -           -   Tesla K40c (0)         1         7  void RADIX_M::radixM_kernel<unsigned int, unsigned int=23, radixM_float>(radix_m_parameters_t<unsigned int, radixM_floatprecision>) [1805]
20.6112s  11.185ms         (152352 1 1)       (256 1 1)        27        0B        0B         -           -   Tesla K40c (0)         1         7  void spRadix0003A::kernel1Mem<unsigned int, float, fftDirection_t=-1, unsigned int=256, unsigned int=6, CONSTANT, ALL, WRITEBACK>(kernel_parameters_t<fft_mem_radix1_t, unsigned int, float>) [1810]
20.6224s  10.252ms         (228528 1 1)       (256 1 1)        21        0B        0B         -           -   Tesla K40c (0)         1         7  void spRadix0002A::kernel1Mem<unsigned int, float, fftDirection_t=-1, unsigned int=256, unsigned int=6, CONSTANT, ALL, WRITEBACK>(kernel_parameters_t<fft_mem_radix1_t, unsigned int, float>) [1815]
20.6327s  37.162ms         (127181 1 1)       (40 12 1)        43        0B  7.1875KB         -           -   Tesla K40c (0)         1         7  void RADIX_M::radixM_kernel<unsigned int, unsigned int=23, radixM_float>(radix_m_parameters_t<unsigned int, radixM_floatprecision>) [1820]
20.6698s  10.145ms         (152352 1 1)       (256 1 1)        27        0B        0B         -           -   Tesla K40c (0)         1         7  void spRadix0003A::kernel1Mem<unsigned int, float, fftDirection_t=-1, unsigned int=256, unsigned int=6, CONSTANT, ALL, WRITEBACK>(kernel_parameters_t<fft_mem_radix1_t, unsigned int, float>) [1825]
20.6800s  10.420ms         (231840 1 1)       (256 1 1)        23        0B        0B         -           -   Tesla K40c (0)         1         7  void spRealComplex::postprocessC2C_kernelMem<unsigned int, float, fftAxii_t=3>(Complex<float>*, float const *, unsigned int, coordDivisors_t<float const *>, coord_t<float const *>, coord_t, float const *, Complex, callback_t) [1839]
20.6914s  50.221ms         (4096 128 1)        (32 2 1)        21        0B        0B         -           -   Tesla K40c (0)         1         7  k_copy_4d(int, int, int, int, float const *, int, int, int, int, float*, int, int, int, int) [1859]
20.7421s  117.06us                    -               -         -         -         -  20.922MB  174.54GB/s   Tesla K40c (0)         1         7  [CUDA memset]
20.7422s  7.2970us             (3 96 1)       (11 11 1)        21        0B        0B         -           -   Tesla K40c (0)         1         7  k_copy_4d(int, int, int, int, float const *, int, int, int, int, float*, int, int, int, int) [1882]
20.7423s  113.22us                    -               -         -         -         -  21.226MB  183.08GB/s   Tesla K40c (0)         1         7  [CUDA memset]
20.7425s  1.2160us                    -               -         -         -         -       48B  37.645MB/s   Tesla K40c (0)         1         7  [CUDA memcpy HtoD]
20.7436s  821.77us           (2981 1 1)       (40 12 1)        43        0B  7.1875KB         -           -   Tesla K40c (0)         1         7  void RADIX_M::radixM_kernel<unsigned int, unsigned int=23, radixM_float>(radix_m_parameters_t<unsigned int, radixM_floatprecision>) [2017]
20.7444s  259.18us           (3571 1 1)       (256 1 1)        25        0B        0B         -           -   Tesla K40c (0)         1         7  void spRadix0003A::kernel1Tex<unsigned int, float, fftDirection_t=-1, unsigned int=256, unsigned int=6, CONSTANT, ALL, WRITEBACK>(kernel_parameters_t<fft_tex_radix1_t, unsigned int, float>) [2023]
20.7447s  239.66us           (5357 1 1)       (256 1 1)        21        0B        0B         -           -   Tesla K40c (0)         1         7  void spRadix0002A::kernel1Tex<unsigned int, float, fftDirection_t=-1, unsigned int=256, unsigned int=6, CONSTANT, ALL, WRITEBACK>(kernel_parameters_t<fft_tex_radix1_t, unsigned int, float>) [2030]
20.7449s  880.62us           (2981 1 1)       (40 12 1)        43        0B  7.1875KB         -           -   Tesla K40c (0)         1         7  void RADIX_M::radixM_kernel<unsigned int, unsigned int=23, radixM_float>(radix_m_parameters_t<unsigned int, radixM_floatprecision>) [2036]
20.7458s  246.83us           (3571 1 1)       (256 1 1)        25        0B        0B         -           -   Tesla K40c (0)         1         7  void spRadix0003A::kernel1Tex<unsigned int, float, fftDirection_t=-1, unsigned int=256, unsigned int=6, CONSTANT, ALL, WRITEBACK>(kernel_parameters_t<fft_tex_radix1_t, unsigned int, float>) [2042]
20.7460s  244.14us           (5434 1 1)       (256 1 1)        23        0B        0B         -           -   Tesla K40c (0)         1         7  void spRealComplex::postprocessC2C_kernelMem<unsigned int, float, fftAxii_t=3>(Complex<float>*, float const *, unsigned int, coordDivisors_t<float const *>, coord_t<float const *>, coord_t, float const *, Complex, callback_t) [2057]
20.7466s  4.6320ms          (4096 96 1)         (3 2 1)        21        0B        0B         -           -   Tesla K40c (0)         1         7  k_copy_4d(int, int, int, int, float const *, int, int, int, int, float*, int, int, int, int) [2077]
20.7515s  150.12us                    -               -         -         -         -  28.301MB  184.10GB/s   Tesla K40c (0)         1         7  [CUDA memset]
20.7517s  1.2170us                    -               -         -         -         -       48B  37.614MB/s   Tesla K40c (0)         1         7  [CUDA memcpy HtoD]
